"shapeid","gid","site","feature","replicate","extra_name","start_date","end_date","treatment","experiment","sponsor","gps_date","gps_corr","gps_type","height","vert_precision","horiz_precision","comment","station","easting","northing","people"
"0.0","1","Arlington GLBRC Intensive Site","plot","3","301","2008-05-09","","3","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1.0","2","Arlington GLBRC Intensive Site","plot","3","302","2008-05-09","","4","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2.0","3","Arlington GLBRC Intensive Site","plot","3","303","2008-05-09","","5","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3.0","4","Arlington GLBRC Intensive Site","plot","2","207","2008-05-09","","7","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4.0","5","Arlington GLBRC Intensive Site","plot","2","208","2008-05-09","","10","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5.0","6","Arlington GLBRC Intensive Site","plot","2","209","2008-05-09","","4","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6.0","7","Arlington GLBRC Intensive Site","plot","2","203","2008-05-09","","2","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7.0","8","Arlington GLBRC Intensive Site","plot","2","204","2008-05-09","","3","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8.0","9","Arlington GLBRC Intensive Site","plot","2","205","2008-05-09","","11","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9.0","10","Arlington GLBRC Intensive Site","plot","3","304","2008-05-09","","6","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10.0","11","Arlington GLBRC Intensive Site","plot","3","305","2008-05-09","","11","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11.0","12","Arlington GLBRC Intensive Site","plot","3","306","2008-05-09","","10","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12.0","13","Arlington GLBRC Intensive Site","plot","5","505","2008-05-09","","7","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"13.0","14","Arlington GLBRC Intensive Site","plot","5","506","2008-05-09","","4","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"14.0","15","Arlington GLBRC Intensive Site","plot","5","507","2008-05-09","","11","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15.0","16","Arlington GLBRC Intensive Site","plot","5","508","2008-05-09","","3","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"16.0","17","Arlington GLBRC Intensive Site","plot","2","210","2008-05-09","","9","GLBRC Biofuel Cropping System Experiment","2","","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
